category,name,desc,status
build,Lovable,"Prototype to product, fast.",
build,Claude,"The whole suite. Design, code, research. It's become the default.",
build,Stitch,Connecting data without the plumbing.,retired
build,GitHub,Version control and a public record of trying.,
build,APIs,First thing I check: does it have one.,
build,Median,"Web app to native mobile, without the native overhead.",
infrastructure,Supabase,Backend without the backend work.,
infrastructure,Backblaze,"Cheap, reliable storage. No drama.",
infrastructure,IONOS,"Domains and hosting, quietly doing its job.",
infrastructure,Mapbox,Maps that don't look like Google Maps.,
infrastructure,Counterscale,"Self-hosted analytics on Cloudflare Workers. No cookies, no nonsense.",
infrastructure,Formspree,Form submissions without the backend.,
infrastructure,Netlify,"Deploy from GitHub, forms included. Done.",
daily,Arc,The only browser I've actually looked forward to opening.,
daily,Markpad,"Notes in plain text, the way it should be.",
daily,Bitwarden,One password to rule them all. Safely.,
